id2;ns3:Name;value;ns3:Description
MEASURES_;Показатели;Eod31299PCount;"Показатель """" в процентах от показателя ""Число организаций"""
MEASURES_;Показатели;CountD1000;Число организаций, тыс.
MEASURES_;Показатели;Eod01158D1000;в I полугодии 2016 года -Да, тыс.
MEASURES_;Показатели;Eod01158PCount;"Показатель ""в I полугодии 2016 года -Да"" в процентах от показателя ""Число организаций"""
MEASURES_;Показатели;Eod31127D1000;, тыс.
MEASURES_;Показатели;Eod31127PEod01158;"Показатель """" в процентах от показателя ""в I полугодии 2016 года -Да"""
MEASURES_;Показатели;Eod31128D1000;, тыс.
MEASURES_;Показатели;Eod31128PEod01158;"Показатель """" в процентах от показателя ""в I полугодии 2016 года -Да"""
MEASURES_;Показатели;Eod31267D1000;, тыс.
MEASURES_;Показатели;Eod31267PEod01158;"Показатель """" в процентах от показателя ""в I полугодии 2016 года -Да"""
MEASURES_;Показатели;Eod31299D1000;, тыс.
Dim_Year_Code;Раунд переписи;2016;по результатам Всероссийской Сельскохозяйственной Переписи 2016 года
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);94000000000;Муниципальные образования Удмуртской Республики
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);95000000000;Муниципальные образования Республики Хакасии
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);99000000000;Муниципальные образования Еврейской автономной области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);98000000000;Муниципальные образования Республики Саха (Якутия)
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);97000000000;Муниципальные образования Чувашской Республики - Чувашии
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);96000000000;Муниципальные образования Чеченской Республики
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);81000000000;Муниципальные образования Республики Бурятии
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);82000000000;Муниципальные образования Республики Дагестан
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);92000000000;Муниципальные образования Республики Татарстан (Татарстана)
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);93000000000;Муниципальные образования Республики Тывы
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);91000000000;Муниципальные образования Карачаево-Черкесской Республики
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);90000000000;Муниципальные образования Республики Северная Осетия-Алания
