ns1:ID;id2;ns3:Name;value;ns3:Description
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01519D1000;Зернобобовые культуры: фасоль, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01520D1000;Зернобобовые культуры: чечевица, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01521D1000;Зернобобовые культуры: бобы кормовые на зерно, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;P176D1000;рожь – всего , тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01504D1000;Зерновые и зернобобовые культуры: рожь озимая, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01505D1000;Зерновые и зернобобовые культуры: рожь яровая, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;P177D1000;ячмень – всего, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01506D1000;Зерновые и зернобобовые культуры: ячмень озимый, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01507D1000;Зерновые и зернобобовые культуры: ячмень яровой, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01529D1000;Зерновые и зернобобовые культуры: ячмень яровой пивоваренный, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01509D1000;Зерновые и зернобобовые культуры: овес, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01510D1000;Зерновые и зернобобовые культуры: кукуруза на зерно, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01511D1000;Зерновые и зернобобовые культуры: просо, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01512D1000;Зерновые и зернобобовые культуры: гречиха, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01513D1000;Зерновые и зернобобовые культуры: рис, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01514D1000;Зерновые и зернобобовые культуры: сорго на зерно, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;P160D1000;тритикале – всего , тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01515D1000;Зерновые и зернобобовые культуры: тритикале озимая, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01617D1000;Кормовые культуры: кормовые культуры на силос (без кукурузы), тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01618D1000;Кормовые культуры: кукуруза на корм, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01619D1000;Кормовые культуры: корнеплодные кормовые культуры, включая свеклу сахарную на корм скоту, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01620D1000;Кормовые культуры: бахчевые кормовые культуры, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01621D1000;Кормовые культуры: семенники и маточники кормовых культур, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01622D1000;Кормовые культуры: прочие кормовые, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01500D1000;Всего посевов под урожай 2016 года, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01501D1000;Зерновые и зернобобовые культуры - всего, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;P173D1000;Озимые зерновые культуры – всего, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;P174D1000;Яровые зерновые культуры – всего , тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;P175D1000;пшеница – всего , тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01502D1000;Зерновые и зернобобовые культуры: пшеница озимая, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01503D1000;Зерновые и зернобобовые культуры: пшеница яровая, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01516D1000;Зерновые и зернобобовые культуры: тритикале яровая, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01517D1000;Зернобобовые культуры - всего, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01518D1000;Зернобобовые культуры: горох, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01593D1000;Овощные и бахчевые культуры открытого грунта: кабачки, патиссоны, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01594D1000;Овощные и бахчевые культуры открытого грунта: тыква столовая, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01595D1000;Овощные и бахчевые культуры открытого грунта: перец сладкий, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01596D1000;Овощные и бахчевые культуры открытого грунта: баклажаны, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01597D1000;Овощные и бахчевые культуры открытого грунта: салатные культуры, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01598D1000;Овощные и бахчевые культуры открытого грунта: зеленные культуры, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01599D1000;Овощные и бахчевые культуры открытого грунта: прочие овощи, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01600D1000;Овощные и бахчевые культуры открытого грунта: лук-севок, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01601D1000;Овощные и бахчевые культуры открытого грунта: маточники и семенники овощных и бахчевых культур, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;P181D1000;продовольственные бахчевые культуры   - всего, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01602D1000;Овощные и бахчевые культуры открытого грунта: арбузы столовые, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01603D1000;Овощные и бахчевые культуры открытого грунта: дыни, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01610D1000;Кормовые культуры - всего, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;P219D1000;пшеница твердая - всего, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01526D1000;Зерновые и зернобобовые культуры: пшеница озимая твердая, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01527D1000;Зерновые и зернобобовые культуры: пшеница яровая твердая, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01548D1000;Технические культуры: табак, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01549D1000;Технические культуры: махорка, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01550D1000;Технические культуры: цикорий, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01576D1000;Технические культуры: прочие (канатник, чуфа, люфа, ворсянка, фацелия и др.), тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01580D1000;Картофель, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01581D1000;Овощные и бахчевые культуры открытого грунта - всего, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;P180D1000;овощи открытого грунта – всего, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01582D1000;Овощные и бахчевые культуры открытого грунта: капуста всех видов, кроме цветной и брокколи, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01583D1000;Овощные и бахчевые культуры открытого грунта: капуста цветная и брокколи, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01584D1000;Овощные и бахчевые культуры открытого грунта: огурцы, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01585D1000;Овощные и бахчевые культуры открытого грунта: помидоры, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01586D1000;Овощные и бахчевые культуры открытого грунта: свекла столовая, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01587D1000;Овощные и бахчевые культуры открытого грунта: морковь столовая, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01588D1000;Овощные и бахчевые культуры открытого грунта: лук репчатый, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01611D1000;Кормовые культуры: травы однолетние, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;P182D1000;травы многолетние, тыс. га
7708234640-VSHP2016-44;MEASURES_;Показатели;Eod01612D1000;Кормовые культуры: травы многолетние бобовые, тыс. га
