ns1:ID;concept;value;ns3:Time;value2
7708234640-VSHP2016-15;MEASURES_;Eod31299PCount;2016;4,8000
7708234640-VSHP2016-15;Oktmo_Parent;94000000000;2016;4,8000
7708234640-VSHP2016-15;Category_Parent;9;2016;4,8000
7708234640-VSHP2016-15;Category_Gor_Sel;1;2016;4,8000
7708234640-VSHP2016-15;MEASURES_;CountD1000;2016;116,2000
7708234640-VSHP2016-15;Oktmo_Parent;95000000000;2016;116,2000
7708234640-VSHP2016-15;Category_Parent;9;2016;116,2000
7708234640-VSHP2016-15;Category_Gor_Sel;All;2016;116,2000
7708234640-VSHP2016-15;MEASURES_;CountD1000;2016;64,5000
7708234640-VSHP2016-15;Oktmo_Parent;95000000000;2016;64,5000
7708234640-VSHP2016-15;Category_Parent;22;2016;64,5000
7708234640-VSHP2016-15;Category_Gor_Sel;All;2016;64,5000
7708234640-VSHP2016-15;MEASURES_;CountD1000;2016;51,6000
7708234640-VSHP2016-15;Oktmo_Parent;95000000000;2016;51,6000
7708234640-VSHP2016-15;Category_Parent;24;2016;51,6000
7708234640-VSHP2016-15;Category_Gor_Sel;All;2016;51,6000
7708234640-VSHP2016-15;MEASURES_;CountD1000;2016;0,1000
7708234640-VSHP2016-15;Oktmo_Parent;95000000000;2016;0,1000
7708234640-VSHP2016-15;Category_Parent;117;2016;0,1000
7708234640-VSHP2016-15;Category_Gor_Sel;All;2016;0,1000
7708234640-VSHP2016-15;MEASURES_;Eod01158D1000;2016;94,8000
7708234640-VSHP2016-15;Oktmo_Parent;95000000000;2016;94,8000
7708234640-VSHP2016-15;Category_Parent;9;2016;94,8000
7708234640-VSHP2016-15;Category_Gor_Sel;All;2016;94,8000
7708234640-VSHP2016-15;MEASURES_;Eod01158D1000;2016;54,2000
7708234640-VSHP2016-15;Oktmo_Parent;95000000000;2016;54,2000
7708234640-VSHP2016-15;Category_Parent;22;2016;54,2000
7708234640-VSHP2016-15;Category_Gor_Sel;All;2016;54,2000
